date,company,2023_rev,2024_rev,growth_24,2024Q3_rev,2025Q2_rev,2025Q3_rev,qoq,yoy,ytd
2025-Q3,Unimicron,2112,2207,4.5,647,647,647,10.5,10.5,9.0
2025-Q3,SEMCO,1315,1492,13.4,428,428,428,3.8,3.8,7.0
2025-Q3,Ibiden,1450,1242,-14.4,388,388,388,8.6,8.6,19.9
2025-Q3,Nan Ya PCB,1157,854,-26.2,311,311,311,28.7,28.7,22.8
2025-Q3,Kinsus,649,739,13.7,289,289,289,42.6,42.6,39.5
2025-Q3,AT&S,588,632,7.6,227,227,227,19.7,19.7,20.5
2025-Q3,LG Innotek,623,694,11.4,218,218,218,20.7,20.7,13.2
2025-Q3,Shinko,767,686,-10.6,216,216,216,17.7,17.7,13.4
2025-Q3,Simmtech,571,668,16.9,195,195,195,13.4,13.4,1.3
2025-Q3,Daeduck Group,612,565,-7.7,176,176,176,20.2,20.2,1.8
2025-Q3,Shennan Circuit,324,441,36.0,146,146,146,34.4,34.4,16.9
2025-Q3,Zhen Ding,160,274,71.6,103,103,103,32.0,32.0,34.2
2025-Q3,AKM Meadville,218,228,4.8,95,95,95,54.4,54.4,44.2
2025-Q3,ASE Material,261,261,0.0,79,79,79,24.9,24.9,14.7
2025-Q3,Toppan Printing,308,273,-11.5,72,72,72,-11.9,-11.9,15.5
2025-Q3,Kyocera,363,247,-32.1,70,70,70,18.3,18.3,5.4
2025-Q3,Young Poong Group,297,242,-18.3,66,66,66,14.6,14.6,-0.7
2025-Q3,Shenzhen Fastprint,116,149,28.5,57,57,57,51.6,51.6,40.7
2025-Q3,Haesung DS,187,124,-33.5,34,34,34,25.1,25.1,-24.2
2025-Q3,FICT,86,75,-13.3,21,21,21,6.3,6.3,9.9
